rank,year365,year366,13aqi,13pm2.5,13img,14aqi,14pm2.5,14img,15aqi,15pm2.5,15img,16aqi,16pm2.5,16img,17aqi,17pm2.5,17img,18aqi,18pm2.5,18img
1,1/1,1/1,20000,14,img/2013.jpg,86,44,img/2014 (1).jpg,15,10.5,img/2015 (1).jpg,212,187,img/2016 (1).jpg,420,379,img/2017 (1).jpg,31,59,img/2018 (1).jpg
2,1/2,1/2,20000,15,img/2013.jpg,117,110,img/2014 (2).jpg,36,20.1,img/2015 (2).jpg,245,194,img/2016 (2).jpg,66,57,img/2017 (2).jpg,80,8,img/2018 (2).jpg
3,1/3,1/3,20000,22,img/2013.jpg,80,46,img/2014 (3).jpg,262,212.4,img/2015 (3).jpg,219,168,img/2016 (3).jpg,390,219,img/2017 (3).jpg,27,9,img/2018 (3).jpg
4,1/4,1/4,20000,41,img/2013.jpg,153,116,img/2014 (4).jpg,190,143.1,img/2015 (4).jpg,22,13,img/2016 (4).jpg,500,323,img/2017 (4).jpg,21,43,img/2018 (4).jpg
5,1/5,1/5,20000,40,img/2013.jpg,119,89,img/2014 (5).jpg,245,195.4,img/2015 (5).jpg,19,15,img/2016 (5).jpg,325,309,img/2017 (5).jpg,63,6,img/2018 (5).jpg
6,1/6,1/6,20000,45,img/2013.jpg,184,139,img/2014 (6).jpg,18,8,img/2015 (6).jpg,38,26,img/2016 (6).jpg,273,223,img/2017 (6).jpg,17,65,img/2018 (6).jpg
7,1/7,1/7,20000,71,img/2013.jpg,143,110,img/2014 (7).jpg,34,23.7,img/2015 (7).jpg,17,11,img/2016 (7).jpg,281,231,img/2017 (7).jpg,88,22,img/2018 (7).jpg
8,1/8,1/8,20000,170,img/2013.jpg,29,15,img/2014 (8).jpg,250,200,img/2015 (8).jpg,16,10,img/2016 (8).jpg,21,15,img/2017 (8).jpg,62,15,img/2018 (8).jpg
9,1/9,1/9,20000,46,img/2013.jpg,43,26,img/2014 (9).jpg,38,26.4,img/2015 (9).jpg,68,49,img/2016 (9).jpg,13,7,img/2017 (9).jpg,33,6,img/2018 (9).jpg
10,1/10,1/10,20000,56,img/2013.jpg,87,63,img/2014 (10).jpg,228,178,img/2015 (10).jpg,41,28,img/2016 (10).jpg,16,5,img/2017 (10).jpg,20,11,img/2018 (10).jpg
11,1/11,1/11,20000,391,img/2013.jpg,143,109,img/2014 (11).jpg,27,4.8,img/2015 (11).jpg,23,15,img/2016 (11).jpg,90,67,img/2017 (11).jpg,17,34,img/2018 (11).jpg
12,1/12,1/12,20000,472,img/2013.jpg,42,23,img/2014 (12).jpg,142,108.9,img/2015 (12).jpg,16,10,img/2016 (12).jpg,43,26,img/2017 (12).jpg,55,34,img/2018 (12).jpg
13,1/13,1/13,20000,475,img/2013.jpg,110,82,img/2014 (13).jpg,206,156.5,img/2015 (13).jpg,22,8,img/2016 (13).jpg,23,9,img/2017 (13).jpg,49,174,img/2018 (13).jpg
14,1/14,1/14,20000,358,img/2013.jpg,109,82,img/2014 (14).jpg,410,364.6,img/2015 (14).jpg,38,22,img/2016 (14).jpg,30,21,img/2017 (14).jpg,228,14,img/2018 (14).jpg
15,1/15,1/15,20000,80,img/2013.jpg,148,122,img/2014 (15).jpg,376,235.9,img/2015 (15).jpg,245,195,img/2016 (15).jpg,65,46,img/2017 (15).jpg,27,48,img/2018 (15).jpg
16,1/16,1/16,20000,245,img/2013.jpg,381,343,img/2014 (16).jpg,14,6.7,img/2015 (16).jpg,111,84,img/2016 (16).jpg,128,93,img/2017 (16).jpg,172,67,img/2018 (16).jpg
17,1/17,1/17,20000,33,img/2013.jpg,211,169,img/2014 (17).jpg,27,12.5,img/2015 (17).jpg,34,24,img/2016 (17).jpg,157,127,img/2017 (17).jpg,97,16,img/2018 (17).jpg
18,1/18,1/18,20000,86,img/2013.jpg,104,77,img/2014 (18).jpg,203,153.2,img/2015 (18).jpg,25,12,img/2016 (18).jpg,32,17,img/2017 (18).jpg,59,83,img/2018 (18).jpg
19,1/19,1/19,20000,290,img/2013.jpg,177,115,img/2014 (19).jpg,72,52.9,img/2015 (19).jpg,36,21,img/2016 (19).jpg,130,99,img/2017 (19).jpg,110,13,img/2018 (19).jpg
20,1/20,1/20,20000,80,img/2013.jpg,37,7,img/2014 (20).jpg,118,89.8,img/2015 (20).jpg,166,126,img/2016 (20).jpg,19,6,img/2017 (20).jpg,41,54,img/2018 (20).jpg
21,1/21,1/21,20000,198,img/2013.jpg,51,35,img/2014 (21).jpg,22,9,img/2015 (21).jpg,110,83,img/2016 (21).jpg,37,17,img/2017 (21).jpg,74,53,img/2018 (21).jpg
22,1/22,1/22,20000,46,img/2013.jpg,153,117,img/2014 (22).jpg,70,49.9,img/2015 (22).jpg,20,12,img/2016 (22).jpg,30,13,img/2017 (22).jpg,73,3,img/2018 (22).jpg
23,1/23,1/23,20000,394,img/2013.jpg,230,205,img/2014 (23).jpg,317,266.6,img/2015 (23).jpg,20,8,img/2016 (23).jpg,31,20,img/2017 (23).jpg,22,10,img/2018 (23).jpg
24,1/24,1/24,20000,14,img/2013.jpg,185,147,img/2014 (24).jpg,323,273.1,img/2015 (24).jpg,40,21,img/2016 (24).jpg,150,115,img/2017 (24).jpg,30,4,img/2018 (24).jpg
25,1/25,1/25,20000,48,img/2013.jpg,40,22,img/2014 (25).jpg,126,95.8,img/2015 (25).jpg,23,12,img/2016 (25).jpg,240,190,img/2017 (25).jpg,23,5,img/2018 (25).jpg
26,1/26,1/26,20000,126,img/2013.jpg,77,52,img/2014 (26).jpg,359,309,img/2015 (26).jpg,51,23,img/2016 (26).jpg,370,271,img/2017 (26).jpg,34,117,img/2018 (26).jpg
27,1/27,1/27,20000,310,img/2013 (27).jpg,128,89,img/2014 (27).jpg,22,12.4,img/2015 (27).jpg,110,83,img/2016 (27).jpg,25,11,img/2017 (27).jpg,153,6,img/2018 (27).jpg
28,1/28,1/28,20000,369,img/2013 (28).jpg,61,40,img/2014 (28).jpg,30,8.1,img/2015 (28).jpg,176,133,img/2016 (28).jpg,435,440,img/2017 (28).jpg,53,9,img/2018 (28).jpg
29,1/29,1/29,20000,425,img/2013 (29).jpg,155,118,img/2014 (29).jpg,115,87.3,img/2015 (29).jpg,73,53,img/2016 (29).jpg,68,10,img/2017 (29).jpg,60,10,img/2018 (29).jpg
30,1/30,1/30,20000,287,img/2013 (30).jpg,93,67,img/2014 (30).jpg,20,9.4,img/2015 (30).jpg,113,85,img/2016 (30).jpg,18,8,img/2017 (30).jpg,28,16,img/2018 (30).jpg
31,1/31,1/31,20000,183,img/2013 (31).jpg,184,143,img/2014 (31).jpg,39,15,img/2015 (31).jpg,16,10,img/2016 (31).jpg,138,105,img/2017 (31).jpg,89,50,img/2018 (31).jpg
32,2/1,2/1,20000,29,img/2013 (32).jpg,179,135,img/2014 (32).jpg,68,49.4,img/2015 (32).jpg,32,17,img/2016 (32).jpg,20,5,img/2017 (32).jpg,69,6,img/2018 (32).jpg
33,2/2,2/2,20000,38,img/2013 (33).jpg,105,63,img/2014 (33).jpg,167,127.2,img/2015 (33).jpg,22,15,img/2016 (33).jpg,41,36,img/2017 (33).jpg,38,6,img/2018 (33).jpg
34,2/3,2/3,20000,138,img/2013 (34).jpg,40,5,img/2014 (34).jpg,248,198.5,img/2015 (34).jpg,30,21,img/2016 (34).jpg,105,115,img/2017 (34).jpg,23,9,img/2018 (34).jpg
35,2/4,2/4,20000,18,img/2013 (35).jpg,50,26,img/2014 (35).jpg,20,8.2,img/2015 (35).jpg,17,10,img/2016 (35).jpg,401,377,img/2017 (35).jpg,28,5,img/2018 (35).jpg
36,2/5,2/5,20000,85,img/2013 (36).jpg,116,87,img/2014 (36).jpg,30,13.9,img/2015 (36).jpg,21,11,img/2016 (36).jpg,21,15,img/2017 (36).jpg,26,7,img/2018 (36).jpg
37,2/6,2/6,20000,220,img/2013 (37).jpg,158,119,img/2014 (37).jpg,134,101.9,img/2015 (37).jpg,25,15,img/2016 (37).jpg,16,5,img/2017 (37).jpg,31,69,img/2018 (37).jpg
38,2/7,2/7,20000,11,img/2013 (38).jpg,124,94,img/2014 (38).jpg,31,4.3,img/2015 (38).jpg,45,28,img/2016 (38).jpg,71,52,img/2017 (38).jpg,93,29,img/2018 (38).jpg
39,2/8,2/8,20000,19,img/2013 (39).jpg,102,72,img/2014 (39).jpg,16,6,img/2015 (39).jpg,500,564,img/2016 (39).jpg,66,48,img/2017 (39).jpg,49,81,img/2018 (39).jpg
40,2/9,2/9,20000,192,img/2013 (40).jpg,29,8,img/2014 (40).jpg,142,108,img/2015 (40).jpg,29,16,img/2016 (40).jpg,21,7,img/2017 (40).jpg,108,12,img/2018 (40).jpg
41,2/10,2/10,20000,17,img/2013 (41).jpg,35,23,img/2014 (41).jpg,205,155,img/2015 (41).jpg,94,70,img/2016 (41).jpg,37,3,img/2017 (41).jpg,23,8,img/2018 (41).jpg
42,2/11,2/11,20000,23,img/2013 (42).jpg,133,100,img/2014 (42).jpg,71,52,img/2015 (42).jpg,270,220,img/2016 (42).jpg,32,12,img/2017 (42).jpg,49,8,img/2018 (42).jpg
43,2/12,2/12,20000,133,img/2013 (43).jpg,150,111,img/2014 (43).jpg,56,29,img/2015 (43).jpg,226,176,img/2016 (43).jpg,150,110,img/2017 (43).jpg,70,32,img/2018 (43).jpg
44,2/13,2/13,20000,326,img/2013 (44).jpg,241,190,img/2014 (44).jpg,135,103,img/2015 (44).jpg,19,8,img/2016 (44).jpg,180,136,img/2017 (44).jpg,56,3,img/2018 (44).jpg
